Name,Description,Status,Star Count,Pull Count,Last Updated,Low - Fixable,Low - No Fix,Medium - Fixable,Medium - No Fix,High - Fixable,High - No Fix,Critical - Fixable,Critical - No Fix,Unspecified - Fixable,Unspecified - No Fix
plone,Plone is a free and open source content management system built on top of Zope.,active,93,6506724,2023-10-19T09:56:49.616824Z,15,41,119,4,71,0,39,0,10,0
bash,Bash is the GNU Project's Bourne Again SHell,active,597,382041761,2023-10-26T01:36:39.232054Z,0,0,0,0,0,0,0,0,1,0
amazonlinux,Amazon Linux provides a stable secure and high-performance execution environment for applications.,active,1347,821791277,2023-10-25T01:36:59.413816Z,0,0,0,0,0,0,0,0,0,0
composer,Composer is a dependency manager written in and for PHP.,active,1014,128914007,2023-10-21T09:41:57.250154Z,0,0,0,0,0,0,0,0,1,0
known,DEPRECATED; lacking active maintainer,active,47,1292421,2019-06-13T05:46:14.801719Z,0,0,1,0,4,0,0,0,0,0
eclipse-mosquitto,Eclipse Mosquitto is an open source message broker which implements MQTT version 5 3.1.1 and 3.1,active,1175,600200966,2023-10-21T00:32:11.704501Z,0,0,0,0,0,0,0,0,1,0
nextcloud,Nextcloud manual docker image,active,3906,916243366,2023-10-27T18:26:13.739992Z,1,75,0,7,0,0,0,1,0,3
silverpeas,Silverpeas is a turnkey and open-source Collaborative and Social-Networking Portal.,active,41,1843656,2023-10-13T10:35:20.756537Z,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
swift,Swift is a high-performance system programming language to learn more about Swift visit swift.org.,active,667,24760756,2023-10-25T02:55:14.181065Z,3,53,3,63,9,1,0,0,0,0
haxe,Haxe is a modern high level static typed programming language with multiple compilation targets.,active,61,24428513,2023-10-21T03:14:16.525788Z,0,53,0,1,0,0,0,1,0,0
rapidoid,DEPRECATED; lacking active maintainer,active,27,2693662,2021-09-29T10:51:38.518892Z,12,15,37,0,61,1,38,0,5,0
adminer,Database management in a single PHP file.,active,875,364233352,2023-10-12T01:42:03.960128Z,0,32,0,0,0,0,0,1,0,0
geonetwork,GeoNetwork is a FOSS catalog for spatially referenced resources.,active,81,5130724,2023-10-25T21:45:46.873998Z,8,10,30,5,30,0,2,0,4,0
xwiki,XWiki: The Advanced Open Source Enterprise Wiki.,active,288,31712744,2023-10-14T04:30:51.694472Z,3,27,5,13,26,3,20,0,2,0
groovy,Apache Groovy is a multi-faceted language for the Java platform.,active,144,75980321,2023-10-19T07:35:38.968434Z,3,17,1,15,0,0,0,0,0,0
znc,ZNC - An advanced IRC bouncer,active,112,28109226,2023-10-21T04:08:39.439216Z,0,0,0,0,0,0,0,0,1,0
gradle,Gradle is a build tool with a focus on build automation and support for multi-language development.,active,553,218588385,2023-10-25T00:53:57.343616Z,4,20,14,16,29,0,2,0,1,0
convertigo,Enterprise grade full-stack Open source Low Code & No Code Platform for web & mobile application,active,51,4173371,2023-10-14T04:19:26.578561Z,3,13,1,15,0,0,0,0,0,0
